geography_code,total_pop,date,geography,value,yoa,percs
E12000007,8799728,2021,London,61953,Arrived 1951 to 1960,0.7
E12000007,8799728,2021,London,174547,Arrived 1961 to 1970,1.98
E12000007,8799728,2021,London,201342,Arrived 1971 to 1980,2.29
E12000007,8799728,2021,London,248576,Arrived 1981 to 1990,2.82
E12000007,8799728,2021,London,498783,Arrived 1991 to 2000,5.67
E12000007,8799728,2021,London,913894,Arrived 2001 to 2010,10.39
E12000007,8799728,2021,London,308792,Arrived 2011 to 2013,3.51
E12000007,8799728,2021,London,433789,Arrived 2014 to 2016,4.93
E12000007,8799728,2021,London,501926,Arrived 2017 to 2019,5.7
E12000007,8799728,2021,London,219846,Arrived 2020 to 2021,2.5
E12000007,8799728,2021,London,12294,Arrived before 1951,0.14
E12000007,8799728,2021,London,5223986,Born in the UK,59.37
,47690322,2021,England,165476,Arrived 1951 to 1960,0.35
,47690322,2021,England,355058,Arrived 1961 to 1970,0.74
,47690322,2021,England,341670,Arrived 1971 to 1980,0.72
,47690322,2021,England,319426,Arrived 1981 to 1990,0.67
,47690322,2021,England,571263,Arrived 1991 to 2000,1.2
,47690322,2021,England,1720248,Arrived 2001 to 2010,3.61
,47690322,2021,England,552218,Arrived 2011 to 2013,1.16
,47690322,2021,England,796225,Arrived 2014 to 2016,1.67
,47690322,2021,England,903115,Arrived 2017 to 2019,1.89
,47690322,2021,England,442428,Arrived 2020 to 2021,0.93
,47690322,2021,England,59675,Arrived before 1951,0.13
,47690322,2021,England,41463520,Born in the UK,86.94
